Category: All categories

Week,Virat Kohli: (India),Rohit Sharma: (India),MS Dhoni: (India),Lionel Messi: (India),Cristiano Ronaldo: (India)
2018-05-13,14,4,11,4,5
2018-05-20,15,4,16,5,7
2018-05-27,11,3,21,7,9
2018-06-03,11,3,8,8,7
2018-06-10,10,2,8,17,21
2018-06-17,10,6,8,22,24
2018-06-24,9,3,8,30,22
2018-07-01,9,3,27,16,27
2018-07-08,11,9,11,8,26
2018-07-15,10,4,12,7,12
2018-07-22,7,2,8,6,8
2018-07-29,16,2,6,5,7
2018-08-05,10,2,7,4,6
2018-08-12,10,3,7,4,7
2018-08-19,18,4,7,5,12
2018-08-26,10,2,6,4,7
2018-09-02,10,3,6,4,6
2018-09-09,9,3,7,4,6
2018-09-16,11,6,7,5,8
2018-09-23,13,8,12,4,7
2018-09-30,14,4,7,5,7
2018-10-07,10,3,6,4,6
2018-10-14,9,10,7,5,6
2018-10-21,33,9,11,5,7
2018-10-28,17,10,10,4,7
2018-11-04,27,8,7,4,6
2018-11-11,10,4,6,4,5
2018-11-18,9,3,6,3,5
2018-11-25,9,3,6,4,5
2018-12-02,9,4,7,4,5
2018-12-09,11,3,6,4,5
2018-12-16,14,3,7,4,5
2018-12-23,10,4,6,4,5
2018-12-30,11,6,7,3,5
2019-01-06,10,5,7,3,5
2019-01-13,17,5,16,3,5
2019-01-20,14,5,9,3,5
2019-01-27,11,5,8,3,5
2019-02-03,8,4,9,4,9
2019-02-10,8,3,7,3,5
2019-02-17,7,3,6,4,5
2019-02-24,8,3,8,4,4
2019-03-03,22,4,13,3,4
2019-03-10,13,5,9,4,7
2019-03-17,13,4,13,5,6
2019-03-24,14,6,14,4,4
2019-03-31,20,5,16,4,4
2019-04-07,14,6,20,4,4
2019-04-14,18,5,16,4,5
2019-04-21,15,6,22,3,4
2019-04-28,13,9,16,6,4
2019-05-05,10,7,15,5,4
2019-05-12,11,8,20,3,4
2019-05-19,10,4,9,4,4
2019-05-26,11,4,15,3,4
2019-06-02,15,9,17,3,4
2019-06-09,19,7,17,3,4
2019-06-16,25,20,15,4,4
2019-06-23,22,8,17,8,4
2019-06-30,30,41,35,4,3
2019-07-07,29,26,83,5,4
2019-07-14,15,9,25,3,4
2019-07-21,10,6,15,3,4
2019-07-28,11,6,11,4,4
2019-08-04,10,7,9,3,4
2019-08-11,25,5,9,3,4
2019-08-18,10,4,7,3,4
2019-08-25,9,3,9,4,4
2019-09-01,9,3,6,3,4
2019-09-08,9,4,11,4,5
2019-09-15,10,4,6,3,5
2019-09-22,8,3,7,5,4
2019-09-29,8,10,6,3,4
2019-10-06,18,7,6,3,4
2019-10-13,11,6,6,4,4
2019-10-20,9,10,8,3,4
2019-10-27,10,4,7,4,4
2019-11-03,24,8,7,3,4
2019-11-10,9,5,7,4,5
2019-11-17,12,4,7,4,5
2019-11-24,10,3,7,4,4
2019-12-01,16,4,7,7,6
2019-12-08,18,7,7,4,4
2019-12-15,15,12,7,4,5
2019-12-22,16,8,9,3,4
2019-12-29,10,4,7,3,5
2020-01-05,11,4,7,3,5
2020-01-12,12,7,11,3,4
2020-01-19,18,10,8,3,5
2020-01-26,13,11,8,3,5
2020-02-02,13,8,7,4,10
2020-02-09,9,4,6,3,5
2020-02-16,9,4,7,4,5
2020-02-23,9,4,6,4,5
2020-03-01,9,4,7,3,5
2020-03-08,8,4,6,3,6
2020-03-15,7,3,6,3,8
2020-03-22,10,3,10,3,9
2020-03-29,13,4,13,4,7
2020-04-05,8,4,6,3,7
2020-04-12,8,3,7,3,5
2020-04-19,8,4,7,3,5
2020-04-26,8,17,8,3,5
2020-05-03,8,4,7,3,4
2020-05-10,8,3,7,2,4
2020-05-17,9,3,6,2,4
2020-05-24,8,3,6,3,4
2020-05-31,8,3,6,3,5
2020-06-07,7,3,7,3,5
2020-06-14,7,2,29,4,5
2020-06-21,7,3,13,12,6
2020-06-28,6,2,14,4,5
2020-07-05,7,3,46,4,5
2020-07-12,6,2,7,4,5
2020-07-19,6,2,7,4,6
2020-07-26,7,2,7,4,5
2020-08-02,6,2,6,4,7
2020-08-09,8,3,55,6,7
2020-08-16,10,5,49,6,6
2020-08-23,18,3,11,24,6
2020-08-30,8,2,8,16,6
2020-09-06,7,3,7,6,7
2020-09-13,9,6,15,4,5
2020-09-20,22,8,22,3,4
2020-09-27,17,7,17,3,4
2020-10-04,17,7,20,3,4
2020-10-11,22,7,21,3,8
2020-10-18,15,7,15,3,6
2020-10-25,20,14,13,3,7
2020-11-01,40,13,11,3,4
2020-11-08,15,12,8,3,5
2020-11-15,11,6,7,3,4
2020-11-22,12,7,7,4,6
2020-11-29,20,8,7,4,5
2020-12-06,17,7,7,6,9
2020-12-13,15,6,6,4,7
2020-12-20,11,5,6,5,6
2020-12-27,13,7,7,4,6
2021-01-03,13,7,5,4,6
2021-01-10,40,7,5,4,5
2021-01-17,16,5,6,4,5
2021-01-24,10,3,5,3,6
2021-01-31,16,5,5,4,15
2021-02-07,14,8,5,3,6
2021-02-14,13,6,7,3,5
2021-02-21,11,6,6,3,5
2021-02-28,12,5,6,3,5
2021-03-07,12,5,5,4,5
2021-03-14,23,9,8,4,6
2021-03-21,20,8,6,3,5
2021-03-28,16,6,8,3,5
2021-04-04,16,7,12,3,5
2021-04-11,15,7,11,3,5
2021-04-18,20,8,15,3,5
2021-04-25,21,19,17,3,5
2021-05-02,16,5,12,4,6
2021-05-09,10,4,7,4,6
2021-05-16,9,4,7,5,7
2021-05-23,10,3,6,5,8
2021-05-30,10,3,6,4,7
2021-06-06,9,3,5,5,7
2021-06-13,12,5,6,7,23
2021-06-20,14,4,6,15,16
2021-06-27,9,3,8,9,14
2021-07-04,8,3,31,10,11
2021-07-11,9,2,6,21,15
2021-07-18,7,3,5,6,8
2021-07-25,7,2,7,5,6
2021-08-01,9,3,6,23,7
2021-08-08,10,5,6,37,12
2021-08-15,11,3,6,8,8
2021-08-22,12,8,5,7,33
2021-08-29,9,6,5,7,19
2021-09-05,11,6,8,7,13
2021-09-12,18,6,6,5,9
2021-09-19,17,7,11,6,8
2021-09-26,13,6,10,5,7
2021-10-03,10,5,10,4,7
2021-10-10,17,4,24,5,7
2021-10-17,14,6,12,5,6
2021-10-24,18,6,9,5,13
2021-10-31,39,10,9,5,8
2021-11-07,18,7,6,4,7
2021-11-14,12,9,6,4,6
2021-11-21,10,8,6,4,6
2021-11-28,11,3,5,8,10
2021-12-05,16,7,5,5,6
2021-12-12,18,6,5,4,7
2021-12-19,10,3,5,4,5
2021-12-26,9,4,4,3,6
2022-01-02,10,3,4,4,5
2022-01-09,23,3,5,3,6
2022-01-16,21,5,5,4,5
2022-01-23,21,5,6,4,7
2022-01-30,9,4,6,5,18
2022-02-06,12,7,6,4,7
2022-02-13,13,6,7,4,7
2022-02-20,10,6,5,4,7
2022-02-27,16,6,5,4,7
2022-03-06,10,4,5,4,8
2022-03-13,11,4,6,5,9
2022-03-20,11,4,17,5,7
2022-03-27,13,5,11,4,7
2022-04-03,13,5,11,4,7
2022-04-10,13,5,7,4,9
2022-04-17,17,6,13,4,20
2022-04-24,19,14,10,4,9
2022-05-01,15,5,11,4,9
2022-05-08,15,5,10,4,8
2022-05-15,17,5,9,4,7
2022-05-22,18,4,7,4,7
2022-05-29,12,3,6,5,7
2022-06-05,14,3,5,6,7
2022-06-12,12,3,5,4,7
2022-06-19,10,3,6,11,7
2022-06-26,11,7,5,4,7
2022-07-03,16,5,26,4,9
2022-07-10,22,9,6,4,8
2022-07-17,15,5,5,4,9
2022-07-24,11,4,5,4,10
2022-07-31,10,6,5,4,8
2022-08-07,9,4,5,5,7
2022-08-14,10,3,6,4,7
2022-08-21,13,3,5,4,10
2022-08-28,25,7,6,4,9
2022-09-04,47,12,8,4,7
2022-09-11,16,4,7,4,6
2022-09-18,16,8,5,5,6
2022-09-25,18,6,9,5,8
2022-10-02,15,6,5,5,9
2022-10-09,11,4,5,4,8
2022-10-16,12,4,5,5,10
2022-10-23,60,8,6,6,9
2022-10-30,56,6,6,5,8
2022-11-06,32,15,9,6,9
2022-11-13,16,6,10,9,16
2022-11-20,14,4,6,23,39
2022-11-27,12,3,6,20,28
2022-12-04,19,13,5,23,38
2022-12-11,17,5,5,39,43
2022-12-18,13,4,5,100,50
2022-12-25,14,4,5,19,27
2023-01-01,12,4,5,13,22
2023-01-08,30,9,5,11,14
2023-01-15,40,10,6,13,18
2023-01-22,17,11,6,9,12
2023-01-29,13,4,6,8,14
2023-02-05,14,9,5,9,18
2023-02-12,14,5,4,7,9
2023-02-19,13,6,5,7,10
2023-02-26,11,4,5,10,11
2023-03-05,12,5,5,7,10
2023-03-12,30,5,6,8,10
2023-03-19,15,6,6,9,11
2023-03-26,15,4,15,9,10
2023-04-02,23,7,17,9,9
2023-04-09,20,7,17,7,7
2023-04-16,26,9,17,6,7
2023-04-23,21,7,17,5,7
2023-04-30,43,13,16,10,8
